model,weight,chan,nlbl,MAE,RMSE,PC,u_res,nTP,nFP,nTN,nFN,N,err,acc,pre,rec,f1,f1_div_MAE,f1_mul_PC_div_MAE,f1_div_1MAE,f1_mul_PC_div_1MAE
EQTransformer,pnw,BHP,1075,0.17510697674418604,,0.8902325581395348,0.1938619979402678,957,59,914,118,2048,0.08642578125,0.91357421875,0.9835560123329907,0.8902325581395348,0.9153515064562411,5.227384559288457,4.653587928594468,0.7789516397837776,0.6934481109516978
EQTransformer,pnw,BHS,570,0.26507017543859657,,0.9122807017543859,0.29000000000000004,520,18,503,50,1091,0.06232813932172319,0.9376718606782768,0.9980806142034548,0.9122807017543859,0.9386281588447654,3.5410553348435774,3.230436445822211,0.7419573847113622,0.6768734035963304
EQTransformer,instance,EHP,1570,0.35938216560509556,,0.9038216560509554,0.39319163763066206,1419,75,1368,151,3013,0.07500829737802854,0.9249917026219715,0.9833679833679834,0.9038216560509554,0.9262402088772846,2.5773126702538622,2.3294310057899557,0.6813685160162386,0.6158356205267786
EQTransformer,pnw,EHS,598,0.34120401337792644,,0.7792642140468228,0.4304641350210971,466,24,452,132,1074,0.1452513966480447,0.8547486033519553,0.9789915966386554,0.7792642140468228,0.8566176470588235,2.510573186341778,1.9563998408616532,0.6386930239653589,0.49771061733755395
PhaseNet,diting,ENP,2980,0.018687919463087246,,0.4587248322147651,-0.04003594536304816,1367,52,1341,1613,4373,0.3807454836496684,0.6192545163503316,0.9813352476669059,0.4587248322147651,0.621504887474426,33.25704012702082,15.255830152227338,0.6101033256603241,0.2798695456972024
EQTransformer,pnw,ENS,1568,0.017563775510204084,,0.4272959183673469,0.0408,670,14,662,898,2244,0.40641711229946526,0.5935828877005348,0.9911242603550295,0.4272959183673469,0.5950266429840142,33.87806013794241,14.475956819146313,0.584756117802709,0.24986390237743306
EQTransformer,pnw,HHP,1886,0.242338282078473,,0.9225874867444327,0.2601309049516221,1740,101,1659,146,3646,0.06774547449259462,0.9322545255074054,0.9886363636363636,0.9225874867444327,0.9337268580627851,3.8529895072889455,3.5547199059823784,0.7515882521953918,0.6934059166595874
EQTransformer,pnw,HHS,938,0.22585287846481877,,0.8773987206823027,0.25585748792270535,823,30,798,115,1766,0.08210645526613816,0.9178935447338619,0.9939613526570048,0.8773987206823027,0.9190396426577331,4.069196057649061,3.570307415186756,0.7497144712901279,0.6577985179869672
EQTransformer,pnw,HNP,1814,0.1372657111356119,,0.601433296582139,0.2257479601087942,1091,21,1082,723,2917,0.25505656496400414,0.7449434350359959,0.9891205802357208,0.601433296582139,0.745727956254272,5.432732982511042,3.2674265071221322,0.6557200739918805,0.3943718857360207
EQTransformer,pnw,HNS,994,0.23541247484909464,,0.5020120724346077,0.45348837209302334,499,22,494,495,1510,0.3423841059602649,0.6576158940397351,0.9670542635658915,0.5020120724346077,0.6587458745874587,2.798262390341597,1.4047615017912043,0.5332193805699788,0.2676825663022328
